Country,Name,Value
Angola,Aluminium,0
Angola,Arsenic,0
Angola,Baryte,0
Angola,Bauxite,0
Angola,Bentonite,0
Angola,Beryllium,0
Angola,Chromium,0
Angola,Cobalt,0
Angola,Coking Coal,0
Angola,Copper,0
Angola,Diam. (Gem),8.00E+06
Angola,Diam. (Ind),872310
Angola,Diatomite,0
Angola,Feldspar,0
Angola,Fluorspar,0
Angola,Gold,35
Angola,Graphite,0
Angola,Gypsum,50000
Angola,Iron,37610
Angola,Kaolin,0
Angola,Lead,0
Angola,Lithium,0
Angola,Magnesite,0
Angola,Manganese,0
Angola,Mercury,0
Angola,Nat. Gas,5886
Angola,Nickel,0
Angola,Niobium,0
Angola,Palladium,0
Angola,Perlite,0
Angola,Petroleum,5.00E+07
Angola,Phosphates,0
Angola,Platinum,0
Angola,Rare Earths,0
Angola,Rhodium,0
Angola,Salt,182600
Angola,Silver,0
Angola,Steam Coal,0
Angola,Sulfur,0
Angola,Talc,0
Angola,Tantalum,0
Angola,Tin,0
Angola,Titanium,0
Angola,Tungsten,0
Angola,Uranium,0
Angola,Vanadium,0
Angola,Vermiculite,0
Angola,Zinc,0
Angola,Zircon,0
