Country,Name,Value
Angola,Aluminium,0
Angola,Arsenic,0
Angola,Baryte,0
Angola,Bauxite,0
Angola,Bentonite,0
Angola,Beryllium,0
Angola,Chromium,0
Angola,Cobalt,0
Angola,Coking Coal,0
Angola,Copper,0
Angola,Diam. (Gem),8.00E+06
Angola,Diam. (Ind),872310
Angola,Diatomite,0
Angola,Feldspar,0
Angola,Fluorspar,0
Angola,Gold,35
Angola,Graphite,0
Angola,Gypsum,50000
Angola,Iron,37610
Angola,Kaolin,0
Angola,Lead,0
Angola,Lithium,0
Angola,Magnesite,0
Angola,Manganese,0
Angola,Mercury,0
Angola,Nat. Gas,5886
Angola,Nickel,0
Angola,Niobium,0
Angola,Palladium,0
Angola,Perlite,0
Angola,Petroleum,5.00E+07
Angola,Phosphates,0
Angola,Platinum,0
Angola,Rare Earths,0
Angola,Rhodium,0
Angola,Salt,182600
Angola,Silver,0
Angola,Steam Coal,0
Angola,Sulfur,0
Angola,Talc,0
Angola,Tantalum,0
Angola,Tin,0
Angola,Titanium,0
Angola,Tungsten,0
Angola,Uranium,0
Angola,Vanadium,0
Angola,Vermiculite,0
Angola,Zinc,0
Angola,Zircon,0
Cameroon,Aluminium,36400
Cameroon,Arsenic,0
Cameroon,Baryte,0
Cameroon,Bauxite,0
Cameroon,Bentonite,0
Cameroon,Beryllium,0
Cameroon,Chromium,0
Cameroon,Cobalt,0
Cameroon,Coking Coal,0
Cameroon,Copper,0
Cameroon,Diam. (Gem),0
Cameroon,Diam. (Ind),2668
Cameroon,Diatomite,0
Cameroon,Feldspar,0
Cameroon,Fluorspar,0
Cameroon,Gold,440
Cameroon,Graphite,0
Cameroon,Gypsum,0
Cameroon,Iron,0
Cameroon,Kaolin,0
Cameroon,Lead,0
Cameroon,Lithium,0
Cameroon,Magnesite,0
Cameroon,Manganese,0
Cameroon,Mercury,0
Cameroon,Nat. Gas,2090
Cameroon,Nickel,0
Cameroon,Niobium,0
Cameroon,Palladium,0
Cameroon,Perlite,0
Cameroon,Petroleum,3493100
Cameroon,Phosphates,0
Cameroon,Platinum,0
Cameroon,Rare Earths,0
Cameroon,Rhodium,0
Cameroon,Salt,0
Cameroon,Silver,0
Cameroon,Steam Coal,0
Cameroon,Sulfur,0
Cameroon,Talc,0
Cameroon,Tantalum,0
Cameroon,Tin,0
Cameroon,Titanium,0
Cameroon,Tungsten,0
Cameroon,Uranium,0
Cameroon,Vanadium,0
Cameroon,Vermiculite,0
Cameroon,Zinc,0
Cameroon,Zircon,0
Central African Republic,Aluminium,0
Central African Republic,Arsenic,0
Central African Republic,Baryte,0
Central African Republic,Bauxite,0
Central African Republic,Bentonite,0
Central African Republic,Beryllium,0
Central African Republic,Chromium,0
Central African Republic,Cobalt,0
Central African Republic,Coking Coal,0
Central African Republic,Copper,0
Central African Republic,Diam. (Gem),74220
Central African Republic,Diam. (Ind),18550
Central African Republic,Diatomite,0
Central African Republic,Feldspar,0
Central African Republic,Fluorspar,0
Central African Republic,Gold,840
Central African Republic,Graphite,0
Central African Republic,Gypsum,0
Central African Republic,Iron,0
Central African Republic,Kaolin,0
Central African Republic,Lead,0
Central African Republic,Lithium,0
Central African Republic,Magnesite,0
Central African Republic,Manganese,0
Central African Republic,Mercury,0
Central African Republic,Nat. Gas,0
Central African Republic,Nickel,0
Central African Republic,Niobium,0
Central African Republic,Palladium,0
Central African Republic,Perlite,0
Central African Republic,Petroleum,0
Central African Republic,Phosphates,0
Central African Republic,Platinum,0
Central African Republic,Rare Earths,0
Central African Republic,Rhodium,0
Central African Republic,Salt,0
Central African Republic,Silver,0
Central African Republic,Steam Coal,0
Central African Republic,Sulfur,0
Central African Republic,Talc,0
Central African Republic,Tantalum,0
Central African Republic,Tin,0
Central African Republic,Titanium,0
Central African Republic,Tungsten,0
Central African Republic,Uranium,0
Central African Republic,Vanadium,0
Central African Republic,Vermiculite,0
Central African Republic,Zinc,0
Central African Republic,Zircon,0
Chad,Aluminium,0
Chad,Arsenic,0
Chad,Baryte,0
Chad,Bauxite,0
Chad,Bentonite,0
Chad,Beryllium,0
Chad,Chromium,0
Chad,Cobalt,0
Chad,Coking Coal,0
Chad,Copper,0
Chad,Diam. (Gem),0
Chad,Diam. (Ind),0
Chad,Diatomite,0
Chad,Feldspar,0
Chad,Fluorspar,0
Chad,Gold,0
Chad,Graphite,0
Chad,Gypsum,0
Chad,Iron,0
Chad,Kaolin,0
Chad,Lead,0
Chad,Lithium,0
Chad,Magnesite,0
Chad,Manganese,0
Chad,Mercury,0
Chad,Nat. Gas,0
Chad,Nickel,0
Chad,Niobium,0
Chad,Palladium,0
Chad,Perlite,0
Chad,Petroleum,5799300
Chad,Phosphates,0
Chad,Platinum,0
Chad,Rare Earths,0
Chad,Rhodium,0
Chad,Salt,0
Chad,Silver,0
Chad,Steam Coal,0
Chad,Sulfur,0
Chad,Talc,0
Chad,Tantalum,0
Chad,Tin,0
Chad,Titanium,0
Chad,Tungsten,0
