Region,Country,Aluminium,Arsenic,Baryte,Bauxite,Bentonite,Beryllium,Chromium,Cobalt,Coking Coal,Copper,Diam. (Gem),Diam. (Ind),Diatomite,Feldspar,Fluorspar,Gold,Graphite,Gypsum,Iron,Kaolin,Lead,Lithium,Magnesite,Manganese,Mercury,Nat. Gas,Nickel,Niobium,Palladium,Perlite,Petroleum,Phosphates,Platinum,Rare Earths,Rhodium,Salt,Silver,Steam Coal,Sulfur,Talc,Tantalum,Tin,Titanium,Tungsten,Uranium,Vanadium,Vermiculite,Zinc,Zircon
Central Africa,Angola,0,0,0,0,0,0,0,0,0,0,8.00E+06,872310,0,0,0,35,0,50000,37610,0,0,0,0,0,0,5886,0,0,0,0,5.00E+07,0,0,0,0,182600,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Africa,Cameroon,36400,0,0,0,0,0,0,0,0,0,0,2668,0,0,0,440,0,0,0,0,0,0,0,0,0,2090,0,0,0,0,3493100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Africa,Central African Republic,0,0,0,0,0,0,0,0,0,0,74220,18550,0,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Africa,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5799300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Africa,Congo D.R.,0,0,0,0,0,0,0,93011,0,1924374,2594650,10378700,0,0,0,31445,0,0,0,0,0,0,0,1000,0,0,0,475,0,0,1170000,0,0,0,0,0,3400,0,0,0,505,15750,0,114,0,0,0,16079,0
Central Africa,Congo Rep,0,0,0,0,0,0,0,0,0,10300,0,4125,0,0,0,150,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,13446000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4300,0
Central Africa,Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,4240100,0,454,0,0,0,0,10040000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Africa,Guinea,0,0,0,87438557,0,0,0,0,0,0,204990,68330,0,0,0,102046,0,0,1139200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Africa,Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,134,0,0,0,0,0,0,15,95,0,120,0,0,0,0,0
Eastern Africa,Eritrea,0,0,0,0,0,0,0,0,0,20224,0,0,0,0,0,4625,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320000,68624,0,0,0,0,0,0,0,0,0,0,129641,0
Eastern Africa,Ethiopia,0,0,0,0,0,0,700,0,0,0,0,0,5000,0,0,9600,0,255000,0,1000,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,125000,1000,0,0,0,64,0,0,0,0,0,0,0,0
Eastern Africa,Kenya,0,0,0,0,0,0,0,0,0,0,0,0,763,0,0,292,0,6000,0,900,0,0,0,28500,0,0,0,0,0,0,0,0,0,0,0,7099,0,0,0,0,0,0,254210,0,0,0,400,0,28933
Eastern Africa,Madagascar,0,0,0,0,0,30,5900,1986,0,0,0,0,0,0,0,2000,88110,0,0,0,0,0,0,0,0,0,27710,0,0,0,0,0,0,4100,0,110000,0,0,0,0,0,0,324800,0,0,0,0,0,23100
Eastern Africa,Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30251,0,0,0,0,0,0,0,0,0,0,0
Eastern Africa,Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Africa,Mozambique,564756,0,0,7852,118692,330,0,0,5732902,0,0,0,72914,0,0,764,77116,0,0,0,0,0,0,0,0,4593,0,14,0,0,36330,0,0,0,0,34453,0,5346781,0,0,75,0,1126800,0,0,0,0,0,123011
Eastern Africa,Rwanda,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,245,2260,0,1545,0,0,0,0,0
Eastern Africa,Sudan,0,0,0,0,0,0,2700,0,0,0,0,0,0,6400,0,49700,136000,0,0,3700,0,0,0,0,0,0,0,0,0,0,2605000,0,0,0,0,121000,1000,0,0,4500,0,0,0,0,0,0,0,0,0
Eastern Africa,Tanzania,0,0,0,38,0,0,0,0,0,11520,53165,9380,0,0,0,59638,0,598053,39100,100950,0,0,0,0,0,1838,0,0,0,0,0,5390,0,0,0,112995,9324,976319,0,0,0,158,0,0,0,0,0,0,0
Eastern Africa,Uganda,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,10,0,0,0,10000,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,14000,0,0
Northern Africa,Algeria,0,0,33000,0,36000,0,0,0,0,0,0,0,3000,170000,0,71,0,2500000,416000,120000,0,0,0,0,0,105037,0,0,0,0,58200000,612000,0,0,0,100000,12,0,6000,0,0,0,0,0,0,0,0,500,0
Northern Africa,Egypt,270000,0,4000,0,7000,0,0,0,0,0,0,0,0,200000,1000,12919,0,800000,270000,230000,0,0,0,8000,0,67799,0,0,0,0,29601360,986000,0,0,0,500000,0,0,80000,15000,0,0,0,0,0,0,0,0,0
Northern Africa,Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,0,0,0,0,0,0,0,15236,0,0,0,0,60113100,0,0,0,0,40000,0,0,130000,0,0,0,0,0,0,0,0,0,0
Northern Africa,Morocco,0,6883,840486,0,134340,0,0,1796,0,50340,0,0,0,427387,189012,147,0,0,8870,0,31340,0,0,41250,2,110,147,0,0,0,3246,12176200,0,0,0,295741,194360,0,0,0,0,0,0,0,0,0,0,40230,0
Northern Africa,South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7515700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Africa,Tunisia,0,0,11100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908130,143900,0,0,0,0,0,0,2240,0,0,0,0,2129640,1080700,0,0,0,1889614,0,0,0,0,0,0,0,0,0,0,0,0,0
