Country,Name,Value
Burundi,Aluminium,0
Burundi,Arsenic,0
Burundi,Baryte,0
Burundi,Bauxite,0
Burundi,Bentonite,0
Burundi,Beryllium,0
Burundi,Chromium,0
Burundi,Cobalt,0
Burundi,Coking Coal,0
Burundi,Copper,0
Burundi,Diam. (Gem),0
Burundi,Diam. (Ind),0
Burundi,Diatomite,0
Burundi,Feldspar,0
Burundi,Fluorspar,0
Burundi,Gold,986
Burundi,Graphite,0
Burundi,Gypsum,0
Burundi,Iron,0
Burundi,Kaolin,0
Burundi,Lead,0
Burundi,Lithium,0
Burundi,Magnesite,0
Burundi,Manganese,0
Burundi,Mercury,0
Burundi,Nat. Gas,0
Burundi,Nickel,0
Burundi,Niobium,10
Burundi,Palladium,0
Burundi,Perlite,0
Burundi,Petroleum,0
Burundi,Phosphates,0
Burundi,Platinum,0
Burundi,Rare Earths,134
Burundi,Rhodium,0
Burundi,Salt,0
Burundi,Silver,0
Burundi,Steam Coal,0
Burundi,Sulfur,0
Burundi,Talc,0
Burundi,Tantalum,15
Burundi,Tin,95
Burundi,Titanium,0
Burundi,Tungsten,120
Burundi,Uranium,0
Burundi,Vanadium,0
Burundi,Vermiculite,0
Burundi,Zinc,0
Burundi,Zircon,0
Eritrea,Aluminium,0
Eritrea,Arsenic,0
Eritrea,Baryte,0
Eritrea,Bauxite,0
Eritrea,Bentonite,0
Eritrea,Beryllium,0
Eritrea,Chromium,0
Eritrea,Cobalt,0
Eritrea,Coking Coal,0
Eritrea,Copper,20224
Eritrea,Diam. (Gem),0
Eritrea,Diam. (Ind),0
Eritrea,Diatomite,0
Eritrea,Feldspar,0
Eritrea,Fluorspar,0
Eritrea,Gold,4625
Eritrea,Graphite,0
Eritrea,Gypsum,18000
Eritrea,Iron,0
Eritrea,Kaolin,0
Eritrea,Lead,0
Eritrea,Lithium,0
Eritrea,Magnesite,0
Eritrea,Manganese,0
Eritrea,Mercury,0
Eritrea,Nat. Gas,0
Eritrea,Nickel,0
Eritrea,Niobium,0
Eritrea,Palladium,0
Eritrea,Perlite,0
Eritrea,Petroleum,0
Eritrea,Phosphates,0
Eritrea,Platinum,0
Eritrea,Rare Earths,0
Eritrea,Rhodium,0
Eritrea,Salt,320000
Eritrea,Silver,68624
Eritrea,Steam Coal,0
Eritrea,Sulfur,0
Eritrea,Talc,0
Eritrea,Tantalum,0
Eritrea,Tin,0
Eritrea,Titanium,0
Eritrea,Tungsten,0
Eritrea,Uranium,0
Eritrea,Vanadium,0
Eritrea,Vermiculite,0
Eritrea,Zinc,129641
Eritrea,Zircon,0
Ethiopia,Aluminium,0
Ethiopia,Arsenic,0
Ethiopia,Baryte,0
Ethiopia,Bauxite,0
Ethiopia,Bentonite,0
Ethiopia,Beryllium,0
Ethiopia,Chromium,700
Ethiopia,Cobalt,0
Ethiopia,Coking Coal,0
Ethiopia,Copper,0
Ethiopia,Diam. (Gem),0
Ethiopia,Diam. (Ind),0
Ethiopia,Diatomite,5000
Ethiopia,Feldspar,0
Ethiopia,Fluorspar,0
Ethiopia,Gold,9600
Ethiopia,Graphite,0
Ethiopia,Gypsum,255000
Ethiopia,Iron,0
Ethiopia,Kaolin,1000
Ethiopia,Lead,0
Ethiopia,Lithium,0
Ethiopia,Magnesite,0
Ethiopia,Manganese,0
Ethiopia,Mercury,0
Ethiopia,Nat. Gas,0
Ethiopia,Nickel,0
Ethiopia,Niobium,18
Ethiopia,Palladium,0
Ethiopia,Perlite,0
Ethiopia,Petroleum,0
Ethiopia,Phosphates,0
Ethiopia,Platinum,0
Ethiopia,Rare Earths,0
Ethiopia,Rhodium,0
Ethiopia,Salt,125000
Ethiopia,Silver,1000
Ethiopia,Steam Coal,0
Ethiopia,Sulfur,0
Ethiopia,Talc,0
Ethiopia,Tantalum,64
Ethiopia,Tin,0
Ethiopia,Titanium,0
Ethiopia,Tungsten,0
Ethiopia,Uranium,0
