Country,Name,Value
Botswanna,Aluminium,0
Botswanna,Arsenic,0
Botswanna,Baryte,0
Botswanna,Bauxite,0
Botswanna,Bentonite,0
Botswanna,Beryllium,0
Botswanna,Chromium,0
Botswanna,Cobalt,0
Botswanna,Coking Coal,0
Botswanna,Copper,11742
Botswanna,Diam. (Gem),15887200
Botswanna,Diam. (Ind),6808800
Botswanna,Diatomite,0
Botswanna,Feldspar,0
Botswanna,Fluorspar,0
Botswanna,Gold,649
Botswanna,Graphite,0
Botswanna,Gypsum,0
Botswanna,Iron,0
Botswanna,Kaolin,0
Botswanna,Lead,0
Botswanna,Lithium,0
Botswanna,Magnesite,0
Botswanna,Manganese,0
Botswanna,Mercury,0
Botswanna,Nat. Gas,0
Botswanna,Nickel,0
Botswanna,Niobium,0
Botswanna,Palladium,0
Botswanna,Perlite,0
Botswanna,Petroleum,0
Botswanna,Phosphates,0
Botswanna,Platinum,0
Botswanna,Rare Earths,0
Botswanna,Rhodium,0
Botswanna,Salt,499527
Botswanna,Silver,0
Botswanna,Steam Coal,2021218
Botswanna,Sulfur,0
Botswanna,Talc,0
Botswanna,Tantalum,0
Botswanna,Tin,0
Botswanna,Titanium,0
Botswanna,Tungsten,0
Botswanna,Uranium,0
Botswanna,Vanadium,0
Botswanna,Vermiculite,0
Botswanna,Zinc,0
Botswanna,Zircon,0
Eswatini,Aluminium,0
Eswatini,Arsenic,0
Eswatini,Baryte,0
Eswatini,Bauxite,0
Eswatini,Bentonite,0
Eswatini,Beryllium,0
Eswatini,Chromium,0
Eswatini,Cobalt,0
Eswatini,Coking Coal,0
Eswatini,Copper,0
Eswatini,Diam. (Gem),0
Eswatini,Diam. (Ind),0
Eswatini,Diatomite,0
Eswatini,Feldspar,0
Eswatini,Fluorspar,0
Eswatini,Gold,0
Eswatini,Graphite,0
Eswatini,Gypsum,0
Eswatini,Iron,0
Eswatini,Kaolin,0
Eswatini,Lead,0
Eswatini,Lithium,0
Eswatini,Magnesite,0
Eswatini,Manganese,0
Eswatini,Mercury,0
Eswatini,Nat. Gas,0
Eswatini,Nickel,0
Eswatini,Niobium,0
Eswatini,Palladium,0
Eswatini,Perlite,0
Eswatini,Petroleum,0
Eswatini,Phosphates,0
Eswatini,Platinum,0
Eswatini,Rare Earths,0
Eswatini,Rhodium,0
Eswatini,Salt,0
Eswatini,Silver,0
Eswatini,Steam Coal,162681
Eswatini,Sulfur,0
Eswatini,Talc,0
Eswatini,Tantalum,0
Eswatini,Tin,0
Eswatini,Titanium,0
Eswatini,Tungsten,0
Eswatini,Uranium,0
Eswatini,Vanadium,0
Eswatini,Vermiculite,0
Eswatini,Zinc,0
Eswatini,Zircon,0
Lesotho,Aluminium,0
Lesotho,Arsenic,0
Lesotho,Baryte,0
Lesotho,Bauxite,0
