Country,Name,Value
Benin,Aluminium,0
Benin,Arsenic,0
Benin,Baryte,0
Benin,Bauxite,0
Benin,Bentonite,0
Benin,Beryllium,0
Benin,Chromium,0
Benin,Cobalt,0
Benin,Coking Coal,0
Benin,Copper,0
Benin,Diam. (Gem),0
Benin,Diam. (Ind),0
Benin,Diatomite,0
Benin,Feldspar,0
Benin,Fluorspar,0
Benin,Gold,5
Benin,Graphite,0
Benin,Gypsum,0
Benin,Iron,0
Benin,Kaolin,0
Benin,Lead,0
Benin,Lithium,0
Benin,Magnesite,0
Benin,Manganese,0
Benin,Mercury,0
Benin,Nat. Gas,0
Benin,Nickel,0
Benin,Niobium,0
Benin,Palladium,0
Benin,Perlite,0
Benin,Petroleum,0
Benin,Phosphates,0
Benin,Platinum,0
Benin,Rare Earths,0
Benin,Rhodium,0
Benin,Salt,500
Benin,Silver,0
Benin,Steam Coal,0
Benin,Sulfur,0
Benin,Talc,0
Benin,Tantalum,0
Benin,Tin,0
Benin,Titanium,0
Benin,Tungsten,0
Benin,Uranium,0
Benin,Vanadium,0
Benin,Vermiculite,0
Benin,Zinc,0
Benin,Zircon,0
Burkina Faso,Aluminium,0
Burkina Faso,Arsenic,0
Burkina Faso,Baryte,0
Burkina Faso,Bauxite,0
Burkina Faso,Bentonite,0
Burkina Faso,Beryllium,0
Burkina Faso,Chromium,0
Burkina Faso,Cobalt,0
Burkina Faso,Coking Coal,0
Burkina Faso,Copper,0
Burkina Faso,Diam. (Gem),0
Burkina Faso,Diam. (Ind),0
Burkina Faso,Diatomite,0
Burkina Faso,Feldspar,0
Burkina Faso,Fluorspar,0
Burkina Faso,Gold,66858
Burkina Faso,Graphite,0
Burkina Faso,Gypsum,0
Burkina Faso,Iron,0
Burkina Faso,Kaolin,0
Burkina Faso,Lead,0
Burkina Faso,Lithium,0
Burkina Faso,Magnesite,0
Burkina Faso,Manganese,0
Burkina Faso,Mercury,0
Burkina Faso,Nat. Gas,0
Burkina Faso,Nickel,0
Burkina Faso,Niobium,0
Burkina Faso,Palladium,0
Burkina Faso,Perlite,0
Burkina Faso,Petroleum,0
Burkina Faso,Phosphates,0
Burkina Faso,Platinum,0
Burkina Faso,Rare Earths,0
Burkina Faso,Rhodium,0
Burkina Faso,Salt,0
Burkina Faso,Silver,8897
Burkina Faso,Steam Coal,0
Burkina Faso,Sulfur,0
Burkina Faso,Talc,0
Burkina Faso,Tantalum,0
Burkina Faso,Tin,0
